Query,,,,,,Subject,,,,,,Score,,Identities,,Gaps,,Strand,,Taxonomy,,,,,,,,,Filter,NCBI_16S_ribosomal_RNA_20200305
denovo14,439,1,1,439,100,"NR_113569.1 Portibacter lacus strain YM8-076 16S ribosomal RNA, partial sequence",NR_113569.1,1478,332,770,29.7,501.6,0,384/440,87,2/440,0,Plus,Plus,Bacteria; Bacteroidetes; Saprospiria; Saprospirales; Haliscomenobacteraceae; Portibacter; Portibacter lacus,Portibacter lacus,Portibacter,Haliscomenobacteraceae,Saprospirales,Saprospiria,Bacteroidetes,,Bacteria,,
denovo15,439,1,1,439,100,"NR_117435.1 Ohtaekwangia koreensis strain 3B-2 16S ribosomal RNA, partial sequence",NR_117435.1,1444,312,750,30.4,662.2,0,412/439,93,0/439,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Ohtaekwangia; Ohtaekwangia koreensis,Ohtaekwangia koreensis,Ohtaekwangia,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo16,439,1,1,439,100,"NR_112829.1 Thioprofundum lithotrophicum strain 106 16S ribosomal RNA, partial sequence",NR_112829.1,1487,328,767,29.59,595.7,0,402/441,91,3/441,0,Plus,Plus,Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Thioprofundaceae; Thioprofundum; Thioprofundum lithotrophicum,Thioprofundum lithotrophicum,Thioprofundum,Thioprofundaceae,Chromatiales,Gammaproteobacteria,Proteobacteria,,Bacteria,,
denovo17,439,2,1,439,100,"NR_114059.1 Azospirillum oryzae strain NBRC 102291 16S ribosomal RNA, partial sequence",NR_114059.1,1387,280,718,31.65,800.7,0,437/439,99,0/439,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Azospirillum oryzae,Azospirillum oryzae,Azospirillum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo18,439,1,1,439,100,"NR_156102.1 Racemicystis persica strain MSr11462 16S ribosomal RNA, partial sequence",NR_156102.1,1505,320,756,29.04,527.4,0,389/440,88,4/440,0,Plus,Plus,Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Polyangiaceae; Racemicystis; Racemicystis persica,Racemicystis persica,Racemicystis,Polyangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,,Bacteria,,
denovo19,439,1,1,439,100,"NR_165708.1 Chryseolinea soli strain KIS68-18 16S ribosomal RNA, partial sequence",NR_165708.1,1508,330,768,29.11,662.2,0,413/440,93,2/440,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; ; Chryseolinea; Chryseolinea soli,Chryseolinea soli,Chryseolinea,,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo20,439,1,1,439,100,"NR_117435.1 Ohtaekwangia koreensis strain 3B-2 16S ribosomal RNA, partial sequence",NR_117435.1,1444,312,750,30.4,623.4,0,406/440,92,2/440,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Ohtaekwangia; Ohtaekwangia koreensis,Ohtaekwangia koreensis,Ohtaekwangia,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo21,439,1,1,436,99.32,"NR_156918.1 Luteitalea pratensis strain HEG_-6_39 16S ribosomal RNA, partial sequence",NR_156918.1,1506,344,781,29.08,320.6,0,354/442,80,10/442,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo22,439,3,1,439,100,"NR_042438.1 Lactobacillus graminis strain G90 (1) 16S ribosomal RNA, partial sequence",NR_042438.1,1548,361,799,28.36,800.7,0,437/439,99,0/439,0,Plus,Plus,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus graminis,Lactobacillus graminis,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,,Bacteria,,
denovo23,439,1,1,439,100,"NR_114615.1 Nordella oligomobilis strain N21 16S ribosomal RNA, partial sequence",NR_114615.1,1485,334,772,29.56,728.7,0,425/440,96,2/440,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; ; Nordella; Nordella oligomobilis,Nordella oligomobilis,Nordella,,Rhizobiales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo24,439,1,1,439,100,"NR_117435.1 Ohtaekwangia koreensis strain 3B-2 16S ribosomal RNA, partial sequence",NR_117435.1,1444,312,750,30.4,534.8,0,395/445,88,12/445,2,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Ohtaekwangia; Ohtaekwangia koreensis,Ohtaekwangia koreensis,Ohtaekwangia,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo25,439,1,1,439,100,"NR_132330.1 Litorilinea aerophila strain PRI-4131 16S ribosomal RNA, partial sequence",NR_132330.1,1543,334,772,28.45,640.1,0,409/440,92,2/440,0,Plus,Plus,Bacteria; Chloroflexi; Caldilineae; Caldilineales; Caldilineaceae; Litorilinea; Litorilinea aerophila,Litorilinea aerophila,Litorilinea,Caldilineaceae,Caldilineales,Caldilineae,Chloroflexi,,Bacteria,,
denovo26,439,1,1,439,100,"NR_126260.1 Acidibacter ferrireducens strain MCF85 16S ribosomal RNA, partial sequence",NR_126260.1,1239,253,691,35.43,673.3,0,417/442,94,6/442,1,Plus,Plus,Bacteria; Proteobacteria; Gammaproteobacteria; ; ; Acidibacter; Acidibacter ferrireducens,Acidibacter ferrireducens,Acidibacter,,,Gammaproteobacteria,Proteobacteria,,Bacteria,,
denovo27,439,2,1,439,100,"NR_146349.1 Lacunisphaera limnophila strain IG16b 16S ribosomal RNA, partial sequence",NR_146349.1,1558,355,793,28.18,673.3,0,415/440,94,2/440,0,Plus,Plus,Bacteria; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae; Lacunisphaera; Lacunisphaera limnophila,Lacunisphaera limnophila,Lacunisphaera,Opitutaceae,Opitutales,Opitutae,Verrucomicrobia,,Bacteria,,
denovo28,439,2,1,439,100,"NR_113833.1 Marinoscillum furvescens strain NBRC 15994 16S ribosomal RNA, partial sequence",NR_113833.1,1444,311,749,30.4,706.5,0,420/439,95,0/439,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Marinoscillum; Marinoscillum furvescens,Marinoscillum furvescens,Marinoscillum,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo29,439,1,1,439,100,"NR_159281.1 Vicingus serpentipes strain ANORD5 16S ribosomal RNA, partial sequence",NR_159281.1,1488,337,775,29.5,562.5,0,394/439,89,0/439,0,Plus,Plus,Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Vicingus; Vicingus serpentipes,Vicingus serpentipes,Vicingus,Cryomorphaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,,Bacteria,,
denovo30,439,1,1,238,54.21,"NR_113149.1 Brevifollis gellanilyticus strain DC2c-G4 16S ribosomal RNA, partial sequence",NR_113149.1,1469,314,561,16.88,244.9,0,212/249,85,12/249,4,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo31,439,1,1,439,100,"NR_109614.1 Caldicoprobacter guelmensis strain D2C22 16S ribosomal RNA, partial sequence",NR_109614.1,1531,348,785,28.61,383.4,0,365/442,82,7/442,1,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo32,439,1,1,436,99.32,"NR_043709.1 Geoalkalibacter ferrihydriticus strain Z-0531 16S ribosomal RNA, partial sequence",NR_043709.1,1504,342,777,28.99,512.6,0,383/436,87,0/436,0,Plus,Plus,Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geoalkalibacter; Geoalkalibacter ferrihydriticus,Geoalkalibacter ferrihydriticus,Geoalkalibacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,,Bacteria,,
denovo33,439,1,1,439,100,"NR_132293.1 Thermomarinilinea lacunifontana strain SW7 16S ribosomal RNA, partial sequence",NR_132293.1,1435,318,756,30.59,462.8,0,378/441,85,4/441,0,Plus,Plus,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Thermomarinilinea; Thermomarinilinea lacunifontana,Thermomarinilinea lacunifontana,Thermomarinilinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,,Bacteria,,
denovo34,439,1,1,439,100,"NR_117865.1 Thermanaerothrix daxensis strain GNS-1 16S ribosomal RNA, partial sequence",NR_117865.1,1459,318,754,29.95,499.7,0,387/443,87,10/443,2,Plus,Plus,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Thermanaerothrix; Thermanaerothrix daxensis,Thermanaerothrix daxensis,Thermanaerothrix,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,,Bacteria,,
denovo35,439,1,1,439,100,"NR_074491.2 Phycisphaera mikurensis NBRC 102666 16S ribosomal RNA, complete sequence",NR_074491.2,1506,332,765,28.82,213.5,0,339/446,76,19/446,4,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo36,439,1,1,437,99.54,"NR_125647.1 Phormidium etoshii strain KR2008/49 16S ribosomal RNA, partial sequence",NR_125647.1,1268,220,654,34.31,213.5,0,331/438,75,4/438,0,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo37,439,1,1,439,100,"NR_115225.1 Chthoniobacter flavus Ellin428 16S ribosomal RNA, partial sequence",NR_115225.1,1360,324,780,33.6,196.9,0,348/462,75,28/462,6,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo38,439,1,1,439,100,"NR_126172.1 Povalibacter uvarum strain Zumi 37 16S ribosomal RNA, partial sequence",NR_126172.1,1508,338,776,29.11,739.8,0,427/440,97,2/440,0,Plus,Plus,Bacteria; Proteobacteria; Gammaproteobacteria; Nevskiales; Steroidobacteraceae; Povalibacter; Povalibacter uvarum,Povalibacter uvarum,Povalibacter,Steroidobacteraceae,Nevskiales,Gammaproteobacteria,Proteobacteria,,Bacteria,,
denovo39,439,1,1,439,100,"NR_132293.1 Thermomarinilinea lacunifontana strain SW7 16S ribosomal RNA, partial sequence",NR_132293.1,1435,318,756,30.59,534.8,0,390/440,88,2/440,0,Plus,Plus,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Thermomarinilinea; Thermomarinilinea lacunifontana,Thermomarinilinea lacunifontana,Thermomarinilinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,,Bacteria,,
denovo40,439,1,1,439,100,"NR_165708.1 Chryseolinea soli strain KIS68-18 16S ribosomal RNA, partial sequence",NR_165708.1,1508,330,768,29.11,623.4,0,406/440,92,2/440,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; ; Chryseolinea; Chryseolinea soli,Chryseolinea soli,Chryseolinea,,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo41,439,2,1,439,100,"NR_121726.1 Fimbriimonas ginsengisoli strain GSoil 348 16S ribosomal RNA, partial sequence",NR_121726.1,1500,322,759,29.2,516.3,0,390/443,88,9/443,2,Plus,Plus,Bacteria; Armatimonadetes; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; Fimbriimonas; Fimbriimonas ginsengisoli,Fimbriimonas ginsengisoli,Fimbriimonas,Fimbriimonadaceae,Fimbriimonadales,Fimbriimonadia,Armatimonadetes,,Bacteria,,
denovo42,439,1,1,439,100,"NR_132293.1 Thermomarinilinea lacunifontana strain SW7 16S ribosomal RNA, partial sequence",NR_132293.1,1435,318,756,30.59,390.8,0,368/444,82,10/444,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo43,439,1,1,439,100,"NR_149795.1 Lentimicrobium saccharophilum strain TBC1 16S ribosomal RNA, partial sequence",NR_149795.1,1446,313,751,30.36,568,0,397/441,90,4/441,0,Plus,Plus,Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Lentimicrobiaceae; Lentimicrobium; Lentimicrobium saccharophilum,Lentimicrobium saccharophilum,Lentimicrobium,Lentimicrobiaceae,Bacteroidales,Bacteroidia,Bacteroidetes,,Bacteria,,
denovo44,439,1,1,439,100,"NR_134120.1 Paludibaculum fermentans strain P105 16S ribosomal RNA, partial sequence",NR_134120.1,1413,313,751,31.07,601.3,0,401/439,91,0/439,0,Plus,Plus,Bacteria; Acidobacteria; Acidobacteriia; Bryobacterales; Bryobacteraceae; Paludibaculum; Paludibaculum fermentans,Paludibaculum fermentans,Paludibaculum,Bryobacteraceae,Bryobacterales,Acidobacteriia,Acidobacteria,,Bacteria,,
denovo45,439,1,1,439,100,"NR_117436.1 Ohtaekwangia kribbensis strain 10AO 16S ribosomal RNA, partial sequence",NR_117436.1,1444,312,750,30.4,673.3,0,416/441,94,4/441,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Ohtaekwangia; Ohtaekwangia kribbensis,Ohtaekwangia kribbensis,Ohtaekwangia,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo46,439,1,1,439,100,"NR_158054.1 Lewinella lacunae strain HME9359 16S ribosomal RNA, partial sequence",NR_158054.1,1476,331,768,29.67,472,0,379/440,86,3/440,0,Plus,Plus,Bacteria; Bacteroidetes; Saprospiria; Saprospirales; Lewinellaceae; Lewinella; Lewinella lacunae,Lewinella lacunae,Lewinella,Lewinellaceae,Saprospirales,Saprospiria,Bacteroidetes,,Bacteria,,
denovo47,439,2,1,439,100,"NR_148571.2 Chloroflexus islandicus strain isl-2 16S ribosomal RNA, partial sequence",NR_148571.2,1479,313,751,29.68,440.6,0,376/443,84,8/443,1,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo48,439,1,1,439,100,"NR_044600.1 Bauldia consociata strain 11 16S ribosomal RNA, partial sequence",NR_044600.1,1442,302,742,30.58,736.1,0,427/441,96,2/441,0,Plus,Plus,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; ; Bauldia; Bauldia consociata,Bauldia consociata,Bauldia,,Rhizobiales,Alphaproteobacteria,Proteobacteria,,Bacteria,,
denovo49,439,1,1,439,100,"NR_041355.1 Longilinea arvoryzae strain KOME-1 16S ribosomal RNA, partial sequence",NR_041355.1,1422,308,746,30.87,545.9,0,393/441,89,4/441,0,Plus,Plus,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Longilinea; Longilinea arvoryzae,Longilinea arvoryzae,Longilinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,,Bacteria,,
denovo50,439,1,2,439,99.77,"NR_029159.1 Borreliella japonica strain HO14 16S ribosomal RNA, partial sequence",NR_029159.1,1493,339,774,29.2,392.6,0,367/442,83,10/442,2,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo51,439,2,1,439,100,"NR_074698.1 Ignavibacterium album JCM 16511 16S ribosomal RNA, partial sequence",NR_074698.1,1527,334,772,28.75,701,0,419/439,95,0/439,0,Plus,Plus,Bacteria; Ignavibacteriae; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae; Ignavibacterium; Ignavibacterium album,Ignavibacterium album,Ignavibacterium,Ignavibacteriaceae,Ignavibacteriales,Ignavibacteria,Ignavibacteriae,,Bacteria,,
denovo52,439,4,1,439,100,"NR_074958.1 Desulfovibrio magneticus RS-1 16S ribosomal RNA, complete sequence",NR_074958.1,1549,347,784,28.28,372.3,0,363/442,82,7/442,1,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo53,439,1,1,439,100,"NR_125615.1 Bacillus thaonhiensis strain NHI-38 16S ribosomal RNA, partial sequence",NR_125615.1,1468,325,763,29.9,806.3,0,438/439,99,0/439,0,Plus,Plus,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus thaonhiensis,Bacillus thaonhiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,,Bacteria,,
denovo54,439,2,1,439,100,"NR_113643.1 Simplicispira metamorpha strain NBRC 13960 16S ribosomal RNA, partial sequence",NR_113643.1,1458,306,744,30.11,784.1,0,434/439,98,0/439,0,Plus,Plus,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Simplicispira; Simplicispira metamorpha,Simplicispira metamorpha,Simplicispira,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,,Bacteria,,
denovo55,439,3,1,439,100,"NR_164882.1 Bacillus zanthoxyli strain 1433 16S ribosomal RNA, partial sequence",NR_164882.1,1438,302,740,30.53,806.3,0,438/439,99,0/439,0,Plus,Plus,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus zanthoxyli,Bacillus zanthoxyli,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,,Bacteria,,
denovo56,439,1,1,439,100,"NR_134756.1 Limisphaera ngatamarikiensis strain NGM72.4 16S ribosomal RNA, partial sequence",NR_134756.1,1410,301,739,31.13,562.5,0,395/440,89,2/440,0,Plus,Plus,Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobia subdivision 3; Limisphaera; Limisphaera ngatamarikiensis,Limisphaera ngatamarikiensis,Limisphaera,Verrucomicrobia subdivision 3,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,,Bacteria,,
denovo57,439,3,1,439,100,"NR_135713.1 Natranaerobaculum magadiense strain Z-1001 16S ribosomal RNA, partial sequence",NR_135713.1,1498,349,785,29.17,438.8,0,374/441,84,6/441,1,Plus,Plus,,,,,,,,,,"Filter: Query Coverage >= 85, Identity Percentage >= 85",
denovo58,439,1,1,439,100,"NR_157715.1 Terrimonas terrae strain T16R-129 16S ribosomal RNA, partial sequence",NR_157715.1,1471,325,763,29.84,723.2,0,423/439,96,0/439,0,Plus,Plus,Bacteria; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae; Terrimonas; Terrimonas terrae,Terrimonas terrae,Terrimonas,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,,Bacteria,,
denovo59,439,1,1,439,100,"NR_024781.1 Haliangium tepidum strain SMP-10 16S ribosomal RNA, partial sequence",NR_024781.1,1508,341,779,29.11,584.7,0,400/441,90,4/441,0,Plus,Plus,Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Kofleriaceae; Haliangium; Haliangium tepidum,Haliangium tepidum,Haliangium,Kofleriaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,,Bacteria,,
denovo60,439,1,1,439,100,"NR_117435.1 Ohtaekwangia koreensis strain 3B-2 16S ribosomal RNA, partial sequence",NR_117435.1,1444,312,750,30.4,678.8,0,415/439,94,0/439,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Ohtaekwangia; Ohtaekwangia koreensis,Ohtaekwangia koreensis,Ohtaekwangia,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo61,439,1,1,439,100,"NR_132293.1 Thermomarinilinea lacunifontana strain SW7 16S ribosomal RNA, partial sequence",NR_132293.1,1435,318,757,30.66,457.2,0,377/441,85,3/441,0,Plus,Plus,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Thermomarinilinea; Thermomarinilinea lacunifontana,Thermomarinilinea lacunifontana,Thermomarinilinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,,Bacteria,,
denovo62,439,1,1,439,100,"NR_165708.1 Chryseolinea soli strain KIS68-18 16S ribosomal RNA, partial sequence",NR_165708.1,1508,330,768,29.11,617.9,0,405/440,92,2/440,0,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; ; Chryseolinea; Chryseolinea soli,Chryseolinea soli,Chryseolinea,,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo63,439,1,1,439,100,"NR_165708.1 Chryseolinea soli strain KIS68-18 16S ribosomal RNA, partial sequence",NR_165708.1,1508,330,768,29.11,695.5,0,421/442,95,6/442,1,Plus,Plus,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; ; Chryseolinea; Chryseolinea soli,Chryseolinea soli,Chryseolinea,,Cytophagales,Cytophagia,Bacteroidetes,,Bacteria,,
denovo64,439,1,1,436,99.32,"NR_114995.1 Calothrix desertica PCC 7102 16S ribosomal RNA, partial sequence",NR_114995.1,1459,224,656,29.68,448,0,375/439,85,9/439,2,Plus,Plus,Bacteria; Cyanobacteria; ; Nostocales; Calotrichaceae; Calothrix; Calothrix desertica,Calothrix desertica,Calothrix,Calotrichaceae,Nostocales,,Cyanobacteria,,Bacteria,,
